"Record_ID#","SALARY","ROOKIE","POS","G","PA","AB","H","1B","2B","3B","HR","TB","BB","UBB","IBB","HBP","SF","SH","ROE","RBI","LEADOFF_PA","DP","TP","WP","PB","END_GAME","SO","BK","INTERFERENCE","FC","TOB","OUT","SIT_DP","GIDP","PITCHES","BALLS","STRIKES","FB","GB","LD","POP","Batted Balls","PA_P","PA_C","PA_1B","PA_2B","PA_3B","PA_SS","PA_LF","PA_CF","PA_RF","PA_DH","PA_PH","PA_PR","G_P","G_C","G_1B","G_2B","G_3B","G_SS","G_LF","G_CF","G_RF","G_DH","G_PH","G_PR","AVG","OBP","SLG","D_ISO","TBP","BBr","UBBr","IBBR","SO/BB","ABR","HITR","B1R","B2R","B3R","HRr","HBPR","SFR","SHR","ROEr","SOr","OUTR","NSOR","RBIR","LEADOFFR","END_GAMER","DP%","FB%","GB%","LD%","POP%","SB","CS","PICKOFF","R","SB%","RUNR","D_BPF","PA%","D_MLVr","D_PMLVr","D_RPMLVr","D_VORPr","D_MLV","D_PMLV","D_RPMLV","D_VORP","D_NETDP","D_EqA","D_EqR","D_RAR","D_RAP","D_RARP","D_OUTS_EQ","PA_ROB","R1","R2","R3","R1_BI","R2_BI","R3_BI","ROB","OBI","R1BI%","R2BI%","R3BI%","OBI%"
19,1500000,0,11,35,63,53,7,5,1,0,1,11,8,8,0,1,1,0,0,4,10,1,0,0,0,2,17,0,0,0,16,47,9,1,253,101,152,9,18,7,3,37,0,0,0,0,0,0,35,0,6,0,22,0,0,0,0,0,0,0,12,0,2,0,22,0,0.13,0.25,0.21,0.08,0.17,0.13,0.13,0,2.13,0.84,0.11,0.08,0.02,0,0.02,0.02,0.02,0,0,0.27,0.75,0.48,0.06,0.16,0.03,11.1,24.3,48.6,18.9,8.1,0,0,0,7,0,0.11,100.13,1,-0.49,-0.48,-0.4,-0.4,-7.2,-7.1,-5.95,-5.9,0.02,0.17,2.7,-3.3,-6.7,-4.5,47,30,20,8,8,1,0,2,36,3,5,0,25,8.3
21,13000000,0,7,158,651,517,122,59,23,0,40,265,122,109,13,7,5,0,2,100,156,9,0,5,0,9,164,1,0,1,251,397,107,7,2815,1296,1519,145,130,63,20,358,0,0,61,0,0,0,482,0,97,9,2,0,0,0,19,0,0,0,119,0,23,2,2,0,0.24,0.39,0.51,0.28,0.41,0.19,0.17,0.02,1.34,0.79,0.19,0.09,0.04,0,0.06,0.01,0.01,0,0,0.25,0.61,0.36,0.15,0.24,0.01,6.5,40.5,36.3,17.6,5.6,2,1,1,79,66.7,0.12,101.1,10.5,0.18,0.12,0.25,0.25,27.8,18,37.77,37.8,-4.6,0.3,102,51.2,24.7,42.9,401,283,188,143,77,17,20,23,408,60,9,14,29.9,14.7
22,8282695,0,9,143,575,490,122,73,30,1,18,208,78,64,14,3,4,0,2,71,100,15,0,8,1,8,89,0,0,0,203,370,104,13,2299,978,1321,133,154,78,41,406,0,0,0,0,0,0,0,118,394,56,7,0,0,0,0,0,0,0,0,32,91,13,7,0,0.25,0.35,0.42,0.18,0.36,0.14,0.11,0.02,1.14,0.85,0.21,0.13,0.05,0,0.03,0.01,0.01,0,0,0.15,0.64,0.49,0.12,0.17,0.01,12.5,32.8,37.9,19.2,10.1,0,1,0,67,0,0.12,100.64,9.3,0.03,-0.03,0.1,0.09,4,-3.8,13.02,12.4,1.72,0.27,71,23.7,0.2,17.2,373,254,168,115,60,16,19,18,343,53,9.5,16.5,30,15.5
23,5000000,0,9,86,357,313,68,51,10,0,7,99,35,35,0,8,1,0,5,32,94,12,0,4,0,7,63,0,0,0,111,241,67,11,1399,560,839,64,117,51,19,251,0,0,0,0,0,0,0,0,355,0,2,0,0,0,0,0,0,0,0,0,85,0,2,0,0.22,0.31,0.32,0.1,0.28,0.1,0.1,0,1.8,0.88,0.19,0.14,0.03,0,0.02,0.02,0,0,0.01,0.18,0.68,0.5,0.09,0.26,0.02,16.4,25.5,46.6,20.3,7.6,2,2,0,40,50,0.11,100.42,5.8,-0.21,-0.28,-0.16,-0.16,-17.1,-23.7,-13.12,-13.7,3.74,0.23,30.4,-1,-17,-5.8,248,168,117,83,41,3,11,11,241,25,2.6,13.3,26.8,10.4
24,4500000,0,6,94,376,324,86,63,21,0,2,113,31,30,1,9,3,9,4,27,104,9,0,2,1,6,32,0,0,1,126,245,56,7,1405,456,949,60,163,52,29,304,0,0,0,95,0,245,0,0,0,34,2,0,0,0,0,24,0,57,0,0,0,9,2,4,0.27,0.34,0.35,0.08,0.3,0.08,0.08,0,1.03,0.86,0.23,0.17,0.06,0,0.01,0.02,0.01,0.02,0.01,0.09,0.65,0.57,0.07,0.28,0.02,12.5,19.7,53.6,17.1,9.5,2,1,1,32,66.7,0.09,100.43,6.1,-0.08,-0.05,0.07,0.07,-6.6,-4.7,5.8,5.8,0.93,0.25,40.5,8.7,-1.6,9.8,251,158,92,81,49,2,6,17,222,25,2.2,7.4,34.7,11.3
25,4750000,0,5,116,520,453,125,109,14,1,1,144,62,59,3,3,0,2,3,22,201,9,0,3,2,5,80,1,0,1,190,326,63,7,2118,853,1265,92,182,82,19,375,0,0,0,30,480,0,0,0,0,9,1,0,0,0,0,9,105,0,0,0,0,2,1,1,0.28,0.37,0.32,0.04,0.28,0.12,0.11,0.01,1.29,0.87,0.24,0.21,0.03,0,0,0.01,0,0,0.01,0.15,0.63,0.47,0.04,0.39,0.01,11.1,24.5,48.5,21.9,5.1,34,13,5,72,72.3,0.14,101.18,8.4,-0.07,-0.1,0.02,0.04,-8.9,-12.8,2.44,4.8,0.17,0.26,57.8,14.3,-4.6,11,343,171,106,82,48,1,5,15,236,21,0.9,6.1,31.3,8.9
26,3500000,0,4,113,365,339,95,72,17,4,2,126,21,17,4,1,4,0,2,36,81,14,0,1,0,5,43,0,0,1,117,245,77,13,1274,448,826,87,136,69,9,301,0,0,8,300,0,0,0,0,28,4,25,0,0,0,3,84,0,0,1,0,9,1,25,0,0.28,0.32,0.37,0.09,0.35,0.06,0.05,0.01,2.05,0.93,0.26,0.2,0.05,0.01,0.01,0,0.01,0,0.01,0.12,0.67,0.55,0.1,0.22,0.01,16.9,28.9,45.2,22.9,3,7,1,0,42,87.5,0.12,98.8,5.7,-0.06,-0.07,0.04,0.06,-5.3,-5.9,3.62,5.1,4.65,0.25,39.6,8,-5.1,6.2,249,171,130,72,48,3,13,18,250,34,2.3,18.1,37.5,13.6
28,6666666,0,7,52,224,206,43,23,13,1,6,76,16,16,0,2,0,0,3,23,51,6,0,4,0,4,36,0,0,1,61,159,44,5,823,306,517,47,64,32,27,170,0,0,0,0,0,0,220,2,0,0,2,0,0,0,0,0,0,0,51,1,0,0,2,0,0.21,0.27,0.37,0.16,0.34,0.07,0.07,0,2.25,0.92,0.19,0.1,0.06,0,0.03,0.01,0,0,0.01,0.16,0.71,0.55,0.1,0.23,0.02,11.4,27.6,37.6,18.8,15.9,4,4,0,28,50,0.13,103.32,3.6,-0.23,-0.28,-0.16,-0.18,-12,-14.9,-8.31,-9.5,0.23,0.22,18.5,-2.7,-13.4,-5.8,167,104,70,51,30,5,7,5,151,17,7.1,13.7,16.7,11.3
29,9500000,0,9,154,645,590,172,95,41,2,34,319,44,41,3,6,5,0,6,96,130,19,0,5,0,4,104,0,0,1,222,416,134,18,2568,971,1597,159,171,103,58,491,0,0,0,0,0,0,0,0,636,8,1,0,0,0,0,0,0,0,0,0,151,2,1,0,0.29,0.34,0.54,0.25,0.49,0.07,0.06,0,2.36,0.91,0.27,0.15,0.06,0,0.05,0.01,0.01,0,0.01,0.16,0.64,0.48,0.15,0.2,0.01,13.4,32.4,34.8,21,11.8,3,2,2,96,60,0.15,101.98,10.4,0.2,0.12,0.25,0.25,30.2,18.1,37.47,37.2,3.47,0.29,98,44.1,16.6,36,425,296,210,133,68,13,22,27,411,62,6.2,16.5,39.7,15.1
30,1000000,0,7,86,242,216,53,36,14,3,0,73,18,17,1,1,3,4,3,22,64,8,0,1,1,3,42,0,0,1,72,166,49,5,967,353,614,36,100,38,8,182,0,0,0,96,21,10,104,0,0,0,11,0,0,0,0,35,6,3,39,0,0,0,11,10,0.25,0.3,0.34,0.09,0.3,0.07,0.07,0,2.33,0.89,0.22,0.15,0.06,0.01,0,0,0.01,0.02,0.01,0.17,0.69,0.51,0.09,0.26,0.01,10.2,19.8,54.9,20.9,4.4,7,3,3,30,70,0.12,101.67,4,-0.18,-0.21,-0.09,-0.08,-10.5,-11.9,-5.12,-4.8,-0.31,0.23,22.9,1,-8.7,-0.8,173,110,79,46,22,2,10,10,147,22,2.5,21.7,45.5,15
33,800000,0,9,133,432,381,94,52,21,1,20,177,47,43,4,3,1,0,2,60,83,17,0,6,0,3,88,0,0,0,144,286,90,13,1687,654,1033,84,120,63,27,294,0,0,41,0,24,0,123,0,161,69,14,0,0,0,11,0,8,0,40,0,49,20,14,0,0.25,0.33,0.47,0.22,0.41,0.11,0.1,0.01,1.87,0.88,0.22,0.12,0.05,0,0.05,0.01,0,0,0,0.2,0.66,0.46,0.14,0.19,0.01,14.4,28.6,40.8,21.4,9.2,10,3,1,59,76.9,0.14,99.42,6.8,0.06,0,0.12,0.14,5.6,-0.2,12.23,13.4,3.24,0.28,59.7,22.8,3.2,16.5,291,207,142,87,59,9,14,17,288,40,6.3,16.1,28.8,13.9
35,6300000,0,4,155,704,611,181,113,51,8,9,275,82,79,3,2,6,3,8,57,282,10,0,7,1,11,104,0,0,0,265,431,97,8,2845,1134,1711,166,209,113,28,516,0,0,0,701,0,0,0,0,0,0,3,0,0,0,0,154,0,0,0,0,0,0,3,0,0.3,0.38,0.45,0.15,0.39,0.12,0.11,0,1.27,0.87,0.26,0.16,0.07,0.01,0.01,0,0.01,0,0.01,0.15,0.61,0.46,0.08,0.4,0.02,8.2,32.2,40.5,21.9,5.4,40,10,8,107,80,0.15,101.41,11.3,0.14,0.13,0.25,0.29,22.4,21.1,41.03,47,-2.52,0.3,105.8,48.8,28.3,48.7,449,225,154,98,55,8,18,22,307,48,5.2,18.4,40,15.6
36,12379883,0,2,111,429,398,110,80,20,3,7,157,23,21,2,3,2,3,1,35,100,16,0,7,0,6,67,0,0,2,136,290,70,15,1555,470,1085,62,189,72,13,336,0,424,0,0,0,0,0,0,0,3,2,0,0,112,0,0,0,0,0,0,0,2,2,2,0.28,0.32,0.39,0.12,0.37,0.05,0.05,0,2.91,0.93,0.26,0.19,0.05,0.01,0.02,0.01,0,0.01,0,0.16,0.68,0.52,0.08,0.23,0.01,21.4,18.5,56.3,21.4,3.9,10,1,1,44,90.9,0.1,101.12,6.8,-0.05,0,0.09,0.11,-5.1,0.3,8.82,11.2,7.41,0.26,48.3,11,2.8,16.2,294,180,125,81,48,4,9,15,254,28,3.2,11.1,31.3,11
37,18929923,0,7,153,654,552,183,109,36,1,37,332,87,63,24,11,4,0,6,121,130,19,0,7,1,5,124,0,0,1,281,366,151,17,2564,1080,1484,144,168,96,24,432,0,0,0,0,0,0,517,0,0,134,3,0,0,0,0,0,0,0,119,0,0,31,3,0,0.33,0.43,0.6,0.27,0.51,0.13,0.1,0.04,1.43,0.84,0.28,0.17,0.06,0,0.06,0.02,0.01,0,0.01,0.19,0.56,0.37,0.19,0.2,0.01,11.3,33.3,38.9,22.2,5.6,3,0,0,102,100,0.16,100.67,10.3,0.46,0.41,0.53,0.54,69,61.5,80.24,81.1,0.63,0.34,128.3,81,56,72.9,373,337,247,149,74,26,28,30,470,84,10.5,18.8,40.5,17.9
38,4150000,0,4,145,608,569,154,117,26,2,9,211,21,20,1,4,6,8,12,52,149,15,0,7,0,12,63,0,0,1,179,416,98,13,2171,712,1459,132,243,123,23,521,0,0,0,591,0,0,0,0,0,4,13,0,0,0,0,131,0,0,0,0,0,1,13,0,0.27,0.3,0.37,0.1,0.35,0.03,0.03,0,3,0.94,0.25,0.19,0.04,0,0.01,0.01,0.01,0.01,0.02,0.1,0.68,0.58,0.09,0.25,0.02,13.3,25.3,46.6,23.6,4.4,0,1,1,75,0,0.12,98.83,9.7,-0.11,-0.12,0,0,-15.6,-16.4,0.36,-0.2,2.38,0.24,60.1,5.5,-15.3,4.2,430,229,142,101,50,4,15,24,293,43,2.8,14.9,48,14.7
39,5500000,0,7,162,707,635,186,117,43,3,23,304,64,53,11,3,5,0,5,110,139,16,0,7,1,15,110,0,0,2,253,447,156,13,2749,1076,1673,160,219,103,48,530,0,0,0,0,0,0,668,0,0,39,0,0,0,0,0,0,0,0,153,0,0,9,0,0,0.29,0.36,0.48,0.19,0.43,0.09,0.08,0.02,1.72,0.9,0.26,0.17,0.06,0,0.03,0,0.01,0,0.01,0.16,0.63,0.48,0.16,0.2,0.02,8.3,30.2,41.3,19.4,9.1,2,4,0,85,33.3,0.12,97.92,11.4,0.17,0.11,0.24,0.23,27.8,18.6,39.54,37.7,-3.91,0.29,107.2,49.1,19.4,40.2,458,363,253,146,85,16,30,41,484,87,6.3,20.5,48.2,18
40,950000,0,4,113,347,316,85,67,10,2,6,117,19,19,0,7,3,2,5,44,66,15,0,1,0,7,38,0,0,0,111,231,73,15,1214,447,767,70,136,56,22,284,0,0,15,253,5,20,15,0,0,4,35,0,0,0,4,64,1,8,7,0,0,1,35,1,0.27,0.32,0.37,0.1,0.34,0.05,0.05,0,2,0.91,0.24,0.19,0.03,0.01,0.02,0.02,0.01,0.01,0.01,0.11,0.67,0.56,0.13,0.19,0.02,20.5,24.6,47.9,19.7,7.7,0,0,1,33,0,0.1,97.92,5.4,-0.07,-0.06,0.05,0.05,-5.2,-5.1,3.57,3.6,7.09,0.25,37.2,7.3,-5.7,5.1,236,154,115,82,47,3,13,22,244,38,2.6,15.9,46.8,15.6
41,5850000,0,2,134,570,534,150,105,31,1,13,222,19,14,5,8,6,3,2,60,98,15,0,4,1,7,71,0,0,1,177,390,117,14,1904,587,1317,137,213,80,42,472,0,563,0,0,0,0,0,0,0,0,7,0,0,131,0,0,0,0,0,0,0,0,7,0,0.28,0.31,0.42,0.14,0.39,0.03,0.02,0.01,3.74,0.94,0.26,0.18,0.05,0,0.02,0.01,0.01,0.01,0,0.12,0.68,0.56,0.11,0.17,0.01,12,29,45.1,16.9,8.9,1,0,1,66,100,0.12,102.1,9.1,-0.04,0.02,0.1,0.11,-4.9,2.6,13.96,14.3,1.32,0.25,62.2,12.3,1.5,19.4,393,244,181,96,55,5,19,23,332,47,2.8,19.8,41.8,14.2
42,12000000,0,3,122,514,438,105,63,19,1,22,192,65,61,4,7,4,0,2,62,120,17,0,2,1,4,80,3,0,1,177,334,100,17,1966,775,1191,112,148,75,27,362,0,0,492,0,0,0,0,0,0,21,1,0,0,0,116,0,0,0,0,0,0,5,1,0,0.24,0.34,0.44,0.2,0.37,0.13,0.12,0.01,1.23,0.85,0.2,0.12,0.04,0,0.04,0.01,0.01,0,0,0.16,0.65,0.49,0.12,0.23,0.01,17,30.9,40.9,20.7,7.5,2,0,0,59,100,0.11,101.81,8.2,0.02,-0.08,0.08,0.09,2.2,-10,9.73,10.3,6.16,0.27,64.8,22,-3.9,11.4,337,222,166,112,51,6,16,18,329,40,3.6,14.3,35.3,12.2
43,2025000,0,7,85,280,256,63,38,13,0,12,112,16,16,0,0,8,0,1,45,60,10,0,1,0,7,33,0,0,3,79,197,60,10,949,340,609,86,90,25,30,231,0,0,1,1,0,0,144,2,54,65,13,0,0,0,1,1,0,0,41,1,19,17,13,0,0.25,0.28,0.44,0.19,0.4,0.06,0.06,0,2.06,0.91,0.23,0.14,0.05,0,0.04,0,0.03,0,0,0.12,0.7,0.59,0.16,0.21,0.03,16.7,37.2,39,10.8,13,1,1,0,31,50,0.11,101.02,4.5,-0.08,-0.12,0,-0.01,-5.1,-8.1,-0.24,-0.5,3.5,0.25,31.3,5.7,-8,1.2,202,131,90,63,37,7,9,17,190,33,7.8,14.3,45.9,17.4
48,1600000,0,2,95,381,344,95,65,24,0,6,137,23,21,2,6,4,4,5,41,94,5,0,8,0,4,63,0,0,3,124,249,71,5,1407,525,882,89,114,65,21,289,0,356,0,0,4,0,0,0,0,19,2,0,0,88,0,0,2,0,0,0,0,5,2,1,0.28,0.33,0.4,0.12,0.36,0.06,0.06,0.01,2.74,0.9,0.25,0.17,0.06,0,0.02,0.02,0.01,0.01,0.01,0.17,0.65,0.49,0.11,0.25,0.01,7,30.8,39.4,22.5,7.3,2,4,3,54,33.3,0.14,101.2,5.9,-0.03,0.02,0.11,0.09,-2.6,1.7,9.23,7.4,-2.7,0.26,43.4,10.3,2.5,14.4,261,192,121,96,52,4,10,21,269,35,3.3,10.4,40.4,13
54,439000,0,7,76,257,222,55,41,8,0,6,81,34,31,3,0,1,0,2,27,37,10,0,2,0,5,52,0,0,0,89,166,52,9,1010,427,583,40,70,39,22,171,0,0,66,0,0,0,160,0,10,4,17,0,0,0,21,0,0,0,43,0,2,1,17,0,0.25,0.35,0.37,0.12,0.32,0.13,0.12,0.01,1.53,0.86,0.21,0.16,0.03,0,0.02,0,0,0,0.01,0.2,0.65,0.44,0.11,0.14,0.02,17.3,23.4,40.9,22.8,12.9,2,1,0,26,66.7,0.1,98.33,4,-0.05,-0.1,0.02,0.02,-2.7,-6.1,1.29,1.3,3.36,0.26,29.1,7.7,-4.1,3.6,169,130,96,56,25,5,7,9,177,21,5.2,12.5,36,11.9
59,3600000,0,3,151,588,497,109,63,21,1,24,204,82,76,6,4,4,1,2,69,154,16,0,2,3,9,135,0,0,0,195,391,111,14,2662,1142,1520,130,130,73,34,367,0,0,192,0,0,0,65,268,58,1,4,0,0,0,71,0,0,0,18,70,18,1,4,0,0.22,0.33,0.41,0.19,0.35,0.14,0.13,0.01,1.65,0.85,0.19,0.11,0.04,0,0.04,0.01,0.01,0,0,0.23,0.66,0.44,0.12,0.26,0.02,12.6,35.4,35.4,19.9,9.3,3,3,1,86,50,0.15,102.09,9.4,-0.05,-0.11,0.03,0.02,-7.5,-14.6,4.16,3.3,1.97,0.26,67.3,17.1,-8.2,9.8,396,243,178,108,54,13,13,19,340,45,7.3,12,35.2,13.2
60,405000,0,4,112,284,243,74,42,22,1,9,125,34,32,2,3,1,3,4,40,59,1,0,6,0,5,51,0,0,0,111,169,60,1,1127,444,683,66,79,42,9,196,0,0,0,245,0,0,0,0,0,0,39,0,0,0,0,82,0,1,0,0,0,0,39,3,0.31,0.4,0.51,0.21,0.44,0.12,0.11,0.01,1.5,0.86,0.26,0.15,0.08,0,0.03,0.01,0,0.01,0.01,0.18,0.6,0.42,0.14,0.21,0.02,1.7,33.7,40.3,21.4,4.6,2,0,0,42,100,0.15,101.53,4.4,0.26,0.27,0.37,0.38,16.5,17.1,23.76,24.4,-5.5,0.31,45.2,23.2,13.8,21.6,173,135,94,68,31,4,13,14,193,31,4.3,19.1,45.2,16.1
