X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
"TB","R2",0.87675,0.0044900775,0.07656002,0.87149,5.0,0.9339486
"AB","LEADOFF_PA",0.87636,0.14640296,0.12115997,0.86819,5.0,0.85437524
"STRIKES","Batted Balls",0.87636,-0.03778851,0.045620024,0.87136,5.0,0.95611113
"AB","SIT_DP",0.87574,0.00559783,0.054069996,0.86994,5.0,0.9328141
"BALLS","D_EqR",0.87525,-0.006161809,0.042379975,0.86666,5.0,0.9388353
"BALLS","PA%",0.87431,-0.028887153,0.05185002,0.86789,5.0,0.95036685
"H","1B",0.8737,-0.047249794,0.047990024,0.87118,5.0,0.9596613
"D_EqR","D_OUTS_EQ",0.87239,0.07371551,0.08854002,0.86615,5.0,0.8936859
"D_OUTS_EQ","R2",0.87156,-0.007965326,0.08837998,0.86702,5.0,0.9378301
"TB","FB",0.86962,-0.014056742,0.023689985,0.86618,5.0,0.9400408
"1B","Batted Balls",0.86851,-0.052078366,0.05274999,0.86324,5.0,0.95947295
"D_EqR","ROB",0.86753,0.038324356,0.06307995,0.86124,5.0,0.9106073
"OUT","FB",0.86735,2.1713972E-4,0.031780005,0.86409,5.0,0.93119967
"OUT","R1",0.86647,-0.010897577,0.030200005,0.86083,5.0,0.936679
"ROB","OBI",0.86595,-0.028122187,0.06695998,0.86106,5.0,0.9455539
"D_RAR","D_RARP",0.86536,-0.080289185,0.072080016,0.85908,5.0,0.97244495
"LEADOFF_PA","D_OUTS_EQ",0.86401,0.13299859,0.10298997,0.8589,5.0,0.85499203
"LD","Batted Balls",0.86309,-0.04280728,0.07258999,0.85555,5.0,0.95178634
"D_MLVr","D_RPMLVr",0.86308,-0.11023176,0.05272001,0.86308,4.807355,0.98656565
"R3","ROB",0.86298,-0.06753701,0.048539996,0.86285,5.0,0.9646331
"STRIKES","R1",0.86247,-0.0050411224,0.07246995,0.85506,5.0,0.93140274
"BALLS","ROB",0.86242,0.028318524,0.06414002,0.85554,5.0,0.9132916
"R","D_EqR",0.86171,-0.0529297,0.03463,0.85419,5.0,0.95636797
"FB","D_OUTS_EQ",0.86164,7.70092E-4,0.03283,0.85783,5.0,0.92783076
"BALLS","PA_ROB",0.86099,0.011246264,0.046360016,0.85331,5.0,0.92181545
"H","PA_ROB",0.86058,-0.022470415,0.03182,0.85645,5.0,0.93970764
"Batted Balls","PA_ROB",0.86032,-8.8500977E-4,0.030279994,0.84995,5.0,0.9280113
"D_MLVr","D_EqA",0.86022,-0.023938656,0.048940003,0.86022,4.5849624,0.9402971
"PITCHES","FB",0.85955,0.015489757,0.060630023,0.85445,5.0,0.9187275
"DP","GIDP",0.85888,-0.09760296,0.027309954,0.85888,4.807355,0.97799945
"PA%","R2",0.85868,-0.038840175,0.027040005,0.85547,5.0,0.9473754
"PA","SIT_DP",0.8581,-0.021176636,0.029730022,0.85186,5.0,0.9376975
"D_EqR","R2",0.85782,0.03879565,0.08578998,0.8509,5.0,0.9049996
"PA%","R1",0.85652,-0.03109616,0.029200017,0.85418,5.0,0.94213384
"R1","R2",0.85635,-0.06710726,0.03801,0.85182,5.0,0.9609668
"OUT","D_EqR",0.85594,0.054355204,0.05980003,0.85014,5.0,0.89531267
"PA_LF","G_LF",0.85562,-0.11316419,0.055900037,0.85562,2.5849626,0.98426837
"RBI","OBI",0.8549,-0.105305314,0.034449995,0.8549,4.321928,0.97990066
"LEADOFF_PA","OUT",0.85422,0.13028157,0.08712995,0.84807,5.0,0.8508457
"PA_ROB","R3",0.85323,-0.060952127,0.05892998,0.85298,5.0,0.9561287
"TB","R",0.85305,-0.052275836,0.041669965,0.84813,5.0,0.9514861
"Batted Balls","ROB",0.85266,0.0082730055,0.03547001,0.84071,5.0,0.9189053
"FB","Batted Balls",0.8525,0.00953573,0.060860038,0.84564,5.0,0.9181309
"PITCHES","R",0.85222,-0.038714588,0.04697001,0.84493,5.0,0.9438933
"TB","Batted Balls",0.85082,-0.006457627,0.058889985,0.84585,5.0,0.9258929
"PITCHES","Batted Balls",0.84961,-0.022695959,0.05598998,0.84152,5.0,0.9339732
"D_RPMLVr","D_RAP",0.84889,0.14576852,0.043309987,0.84279,5.0,0.8385234
"TB","R1",0.84764,-0.021651268,0.03188002,0.8445,5.0,0.9323579
"D_RPMLVr","D_VORP",0.8468,0.088757694,0.052020013,0.84091,5.0,0.87065625
"STRIKES","R",0.84641,-0.031980693,0.039270043,0.84041,5.0,0.937225
"D_PMLVr","D_RPMLV",0.84633,0.08946347,0.06700003,0.83954,5.0,0.86998075
"H","ROB",0.84597,-0.015682995,0.048940003,0.84224,5.0,0.92825264
"TOB","R",0.8458,-0.07399398,0.08201003,0.83542,5.0,0.9590589
"D_OUTS_EQ","R1",0.8457,-0.02478671,0.022010028,0.84106,5.0,0.9329988
"G","PA",0.84515,-0.05283159,0.033150017,0.83891,5.0,0.9476189
"LEADOFF_PA","STRIKES",0.84435,0.110681295,0.09086001,0.83798,5.0,0.8565446
"G","OUT",0.84429,-0.053777337,0.046009958,0.83638,5.0,0.94766414
"G","AB",0.84409,-0.0496282,0.050069988,0.84409,4.4594316,0.9453667
"FB","PA_ROB",0.84341,-0.0072740912,0.029110014,0.8381,5.0,0.9223254
"SIT_DP","STRIKES",0.84308,-0.008980453,0.08709997,0.83548,5.0,0.9230712
"AB","R3",0.84275,0.018850625,0.05317998,0.83428,5.0,0.90768903
"PA","R3",0.84247,0.003358066,0.052410007,0.8369,5.0,0.9160305
"TOB","FB",0.84149,0.012283027,0.052049994,0.83528,5.0,0.910608
"FB","D_EqR",0.8395,0.03433162,0.03268999,0.83439,5.0,0.89731175
"LEADOFF_PA","PITCHES",0.83903,0.115640044,0.119400024,0.82831,5.0,0.85052335
"AB","BALLS",0.83778,-0.017450988,0.027450025,0.83112,5.0,0.924787
"OBP","OUTR",0.837,-0.12881875,0.030259967,0.837,4.169925,-0.9827608
"D_MLVr","D_VORPr",0.83689,-0.12653798,0.027920008,0.83689,4.169925,0.98154366
"FB","PA%",0.83586,-0.03672105,0.02192998,0.8338,5.0,0.9341205
"D_EqR","D_RAR",0.83401,-0.050810695,0.034730017,0.82753,5.0,0.9406491
"OUT","BALLS",0.83359,-0.021372378,0.017390013,0.8283,5.0,0.9246417
"FB","ROB",0.83358,-0.009529531,0.021179974,0.82689,5.0,0.91820997
"TB","SIT_DP",0.83352,-0.016141117,0.077279985,0.82842,5.0,0.92177063
"PA","R",0.83345,-0.05222714,0.031180024,0.82602,5.0,0.94110423
"OUT","SIT_DP",0.8316,-0.025355339,0.034810007,0.82488,5.0,0.92571884
"PA","LEADOFF_PA",0.83154,0.097550035,0.049459994,0.82647,5.0,0.85673213
"H","LEADOFF_PA",0.83112,0.13158125,0.032490015,0.82359,5.0,0.83638436
"STRIKES","R3",0.83105,0.009791136,0.090409994,0.8238,5.0,0.9062333
"D_VORPr","D_MLV",0.83094,0.12874866,0.09930003,0.82596,5.0,0.8379686
"SIT_DP","PA%",0.83063,-0.04239589,0.031969965,0.82736,5.0,0.93435854
"PA_ROB","OBI",0.82986,-0.062448323,0.056879997,0.82674,5.0,0.9446207
"TB","RBI",0.82924,-0.05538416,0.04607004,0.82461,5.0,0.9405446
"PITCHES","R1",0.8292,-0.03216511,0.026059985,0.8223,5.0,0.9280976
"LEADOFF_PA","Batted Balls",0.829,0.12254101,0.044729948,0.82499,5.0,0.84051114
"PA_RF","G_RF",0.82844,-0.15819639,0.008849978,0.82844,2.0,0.9932957
"D_MLVr","D_RPMLV",0.82692,0.059048116,0.077769995,0.82049,5.0,0.876283
"G","STRIKES",0.82607,-0.066839874,0.04719001,0.82607,4.5849624,0.9449391
"Batted Balls","D_EqR",0.8259,0.042439222,0.07692999,0.81866,5.0,0.8851332
"OUT","R3",0.82589,0.0022180676,0.06676996,0.81882,5.0,0.90756375
"G","D_OUTS_EQ",0.82534,-0.07155794,0.058079958,0.81831,5.0,0.94704694
"SIT_DP","R2",0.82525,-0.05664128,0.028640032,0.82198,5.0,0.93909067
"Batted Balls","R2",0.8242,-0.004662454,0.063299954,0.82051,5.0,0.9104188
"AB","LD",0.82404,-0.054028153,0.054250002,0.82138,5.0,0.9370529
"TOB","R3",0.82326,0.01583141,0.033930004,0.81859,5.0,0.8985703
"H","LD",0.82253,-0.08525044,0.044319987,0.81879,5.0,0.9527751
"G","PITCHES",0.82245,-0.054343283,0.05250001,0.8125,5.0,0.9363724
"TB","LEADOFF_PA",0.82219,0.16817999,0.03999996,0.8127,5.0,0.80870885
"TOB","SIT_DP",0.82214,-0.036257327,0.03887999,0.81943,5.0,0.92649734
"PITCHES","R3",0.82035,0.002814889,0.06905997,0.81217,5.0,0.9041765
"R","D_OUTS_EQ",0.81998,-0.011235356,0.08459002,0.8115,5.0,0.91171014
"PA_3B","G_3B",0.81995,-0.16413683,0.010609984,0.81995,2.5849626,0.9920115
"SLG","TBP",0.81887,-0.14089495,0.03342998,0.81766,5.0,0.97967595
"FB","R2",0.81869,-0.013021469,0.03732997,0.81531,5.0,0.9119822
"TB","BALLS",0.81827,-0.03367865,0.037339985,0.81096,5.0,0.92301065
"G","PA%",0.81824,-0.08017951,0.048559964,0.81824,4.5849624,0.9478499
"RBI","ROB",0.81813,-0.046922565,0.057779968,0.81624,5.0,0.930082
"G","TOB",0.81779,-0.019831479,0.06865996,0.81179,5.0,0.9152166
"BALLS","D_OUTS_EQ",0.81769,-0.032245457,0.028629959,0.81129,5.0,0.92191947
"PA%","R3",0.81761,-0.015164316,0.054019988,0.8151,5.0,0.9125647
"OUT","R",0.81742,-0.011472046,0.08662999,0.8103,5.0,0.9104351
"SIT_DP","D_EqR",0.81616,0.017675221,0.057310045,0.80958,5.0,0.8935798
"R1","OBI",0.81589,-0.05031079,0.08429998,0.81128,5.0,0.9306991
"AB","R",0.81585,-0.04307866,0.06598002,0.80903,5.0,0.92678404
"D_RPMLV","D_EqA",0.81556,0.2424317,0.12827998,0.80804,5.0,0.75705236
"D_MLV","D_RPMLV",0.81525,-0.11679363,0.053640008,0.80849,5.0,0.96542406
"SB","SB%",0.81478,0.59795547,0.09907001,0.81478,3.0,0.4656442
"SIT_DP","D_OUTS_EQ",0.81344,-0.03842336,0.037180007,0.80755,5.0,0.92296445
"SIT_DP","PITCHES",0.81284,-0.03483075,0.040669978,0.80464,5.0,0.92069036
"D_PMLVr","D_MLV",0.8113,0.125583,0.054369986,0.80495,5.0,0.8280803
"D_PMLVr","D_VORP",0.81098,0.06740427,0.08201003,0.80591,5.0,0.8623084
"D_OUTS_EQ","R3",0.81057,-0.009215355,0.055489957,0.80556,5.0,0.90542
"LEADOFF_PA","PA%",0.80916,0.074197054,0.043940008,0.80662,5.0,0.8572998
"TOB","R1",0.80897,-0.053188443,0.040480018,0.80458,5.0,0.92852485
"PA_1B","G_1B",0.8089,-0.17617214,0.06007999,0.8089,3.321928,0.992508
"H","R2",0.80833,-0.037908077,0.03113997,0.80576,5.0,0.919912
"LEADOFF_PA","TOB",0.80707,0.10769075,0.07576001,0.80106,5.0,0.836289
"D_VORP","D_RAP",0.80701,-0.12293285,0.051970005,0.79916,5.0,0.96433544
"BALLS","FB",0.80636,0.03401941,0.07269001,0.79934,5.0,0.8788291
"R","PA_ROB",0.80571,-0.0064606667,0.023630023,0.79899,5.0,0.9012051
"H","SIT_DP",0.80484,-0.046632826,0.049490035,0.79869,5.0,0.92275286
"R2","OBI",0.80425,-0.07229406,0.03016001,0.8014,5.0,0.9362393
"G","Batted Balls",0.80385,-0.043527365,0.06164998,0.79502,5.0,0.92053103
"R","ROB",0.80374,0.018270195,0.04041004,0.79507,5.0,0.88626736
"TB","OBI",0.80347,-0.05180317,0.065400004,0.79876,5.0,0.9248098
"H","FB",0.80267,-0.041700423,0.025870025,0.79626,5.0,0.9188963
"D_VORPr","D_EqA",0.80248,-0.05535096,0.08971,0.80248,4.70044,0.9261916
"BBr","UBBr",0.80209,-0.13881212,0.043219984,0.80209,3.0,0.9700011
"GB","Batted Balls",0.80145,-0.08457285,0.035679996,0.79603,5.0,0.9412879
"D_RAP","D_RARP",0.80145,-0.132469,0.038680017,0.80145,4.807355,0.96639484
"FB","R1",0.80131,-0.024845064,0.023329973,0.79496,5.0,0.9089307
"2B","TB",0.80073,-0.055105686,0.07824999,0.7942,5.0,0.92511386
"R","PA%",0.80065,-0.07817423,0.05302,0.79729,5.0,0.93745625
"H","R",0.79942,-0.07634908,0.06342,0.79839,5.0,0.93582535
"D_MLV","D_VORP",0.79935,-0.11458582,0.028750002,0.79205,5.0,0.9559999
"RBI","PA_ROB",0.79919,-0.06408286,0.044170022,0.7963,5.0,0.9291248
"SIT_DP","Batted Balls",0.79908,-0.028880417,0.052680016,0.79009,5.0,0.9099233
"D_RPMLVr","D_EqA",0.79903,-0.056764305,0.10359001,0.79903,4.70044,0.9250915
"1B","GB",0.79879,-0.11428416,0.033389986,0.79407,5.0,0.9555491
"D_EqR","R3",0.79851,0.04338765,0.08309001,0.78984,5.0,0.8689778
"D_VORP","D_EqA",0.79713,0.22654027,0.10984999,0.7882,5.0,0.7553739
"D_EqR","D_RARP",0.79659,-0.04644525,0.05015999,0.79023,5.0,0.9181695
"D_RPMLV","D_RAP",0.79645,-0.13054937,0.04141003,0.78969,5.0,0.9628081
"LD","D_OUTS_EQ",0.79637,-0.04831481,0.051370025,0.79194,5.0,0.9190674
"PA","OBI",0.79603,0.006729722,0.07815999,0.79151,5.0,0.8884257
"R3","OBI",0.7958,-0.053770483,0.10124999,0.79365,5.0,0.92172146
"D_EqA","D_RAP",0.79574,0.27539492,0.10628998,0.79197,5.0,0.7213495
"1B","LD",0.79528,-0.0846259,0.075399995,0.79433,5.0,0.938033
"D_MLVr","D_VORP",0.79499,0.041898668,0.06393999,0.78711,5.0,0.86780834
"H","R1",0.79482,-0.053595662,0.053089976,0.78799,5.0,0.92109483
"AB","1B",0.79476,-0.06965172,0.08214998,0.79294,5.0,0.92973745
"AB","OBI",0.79462,0.018205643,0.082399964,0.78782,5.0,0.88114375
"D_VORP","D_EqR",0.79447,-0.012757659,0.0668,0.78932,5.0,0.8984585
"RBI","R2",0.7935,-0.057118,0.046790004,0.79156,5.0,0.92228955
"2B","D_EqR",0.79335,-0.009997785,0.124279976,0.78184,5.0,0.8962967
"PA","LD",0.79269,-0.06798351,0.032520056,0.78488,5.0,0.9277249
"TOB","OBI",0.79234,-0.0042793155,0.069000006,0.7868,5.0,0.8925353
"D_EqR","R1",0.7922,-0.01939565,0.03125,0.78257,5.0,0.90088606
"D_MLV","D_PMLV",0.79124,-0.12225133,0.014039993,0.78426,5.0,0.9557674
"D_EqA","D_RAR",0.79029,0.19776088,0.08860999,0.78438,5.0,0.7697591
"STRIKES","OBI",0.79001,0.025544345,0.12803996,0.78307,5.0,0.87433726
"R1","R3",0.78987,-0.089504,0.032460034,0.78495,5.0,0.93774945
"D_RPMLV","D_EqR",0.78949,-0.0078472495,0.074199975,0.77933,5.0,0.8929374
"R2_BI","OBI",0.78934,-0.10400629,0.055490017,0.76871,4.9068904,0.94517
"G","H",0.78848,-0.046382368,0.04512,0.78384,5.0,0.91370803
"SIT_DP","OBI",0.78804,-0.052783847,0.07951999,0.78423,5.0,0.9169645
"BALLS","R3",0.78744,0.018636763,0.08592999,0.78079,5.0,0.87681425
"OUT","LD",0.78698,-0.05681187,0.050520003,0.78504,5.0,0.9185814
"RBI","D_EqR",0.78648,-0.060225725,0.046350002,0.77985,5.0,0.92016613
"BALLS","R",0.78621,-0.075625,0.053380013,0.78,5.0,0.9283507
"D_PMLV","D_RPMLV",0.78551,-0.1345517,0.054309964,0.77912,5.0,0.9591985
"BALLS","R1",0.78494,-0.021909714,0.022930026,0.7759,5.0,0.89824814
"D_MLVr","D_PMLV",0.78374,0.09547353,0.04907,0.77802,5.0,0.8296183
"D_MLVr","D_PMLVr",0.78291,-0.16061848,0.029929996,0.78285,5.0,0.97135395
"SIT_DP","FB",0.78264,-0.020328403,0.034289956,0.77628,5.0,0.896085
"Batted Balls","R1",0.78222,-0.048162103,0.03565997,0.77711,5.0,0.91125304
"1B","PA%",0.78208,-0.053899765,0.06831002,0.77769,5.0,0.9143193
"D_VORPr","D_RARP",0.78195,0.03145182,0.075320005,0.77376,5.0,0.866313
"Batted Balls","R3",0.78113,0.013363421,0.06388003,0.77439,5.0,0.8762229
"PA","1B",0.78095,-0.057292998,0.07581997,0.77722,5.0,0.91555613
